t_s,ax_g,ay_g,az_g
0.880,0.03316,-0.01409,1.02590
0.890,0.03264,0.03649,1.00426
0.900,0.03718,0.04132,1.00648
0.910,0.02206,0.01883,1.04158
0.920,0.01572,-0.00820,0.97883
0.930,0.02275,0.01145,1.02484
0.940,-0.00925,0.00564,0.97705
0.950,-0.00429,-0.00881,0.96949
0.960,-0.00164,0.00213,1.01262
0.970,0.00502,0.02214,0.96685
0.980,0.03312,0.00003,0.99214
0.990,0.00717,0.01807,1.02749
1.000,0.01786,-0.02318,0.98172
1.010,0.05156,0.04603,1.03594
1.020,0.01861,0.00473,0.95485
1.030,0.04063,0.03007,1.02089
1.040,0.00736,0.01654,0.97232
1.050,0.02207,0.02092,0.99611
1.060,0.00733,-0.00966,1.00431
1.070,0.01970,-0.00213,0.99435
1.080,0.04343,-0.00158,0.99485
1.090,-0.00778,0.01379,0.97098
1.100,0.03561,0.03991,1.02830
1.110,0.03182,0.02215,0.97540
1.120,0.01532,-0.00442,0.97539
1.130,-0.00157,0.01544,0.99806
1.140,0.02893,0.01218,0.98606
1.150,0.01704,0.00687,1.01677
1.160,0.03243,0.01368,0.98933
1.170,0.02835,0.02936,0.99998
1.180,0.06009,-0.00022,1.00229
1.190,0.02341,0.00736,1.01948
1.200,0.00786,0.03402,0.98945
1.210,0.03205,0.02385,0.96656
1.220,0.03300,0.04015,0.98381
1.230,0.05592,0.04338,1.02275
1.240,0.04558,-0.01246,1.00696
1.250,0.03614,0.02062,0.99259
1.260,0.05841,0.00478,1.00122
1.270,0.00550,-0.00894,0.99469
1.280,0.01661,-0.00066,1.01575
1.290,0.01100,0.00920,1.00675
1.300,0.02187,0.00942,0.99442
1.310,0.00226,0.00326,1.01835
1.320,0.04262,0.01521,1.02354
1.330,0.02560,0.06451,0.98161
1.340,0.00076,-0.01884,0.98198
1.350,0.00999,0.03850,1.04802
1.360,0.03669,0.01547,1.01252
1.370,0.04731,0.00717,1.03339
1.380,0.07060,-0.02435,1.01785
1.390,0.08907,0.03135,1.00919
1.400,0.03920,-0.01264,0.95727
1.410,0.01124,0.03282,0.97558
1.420,-0.01149,0.05117,1.01301
1.430,0.03662,-0.00923,0.98190
1.440,0.01512,0.03988,0.99703
1.450,0.02319,0.01710,1.01821
1.460,0.01937,-0.02521,1.00271
1.470,0.02891,-0.00734,1.00798
1.480,0.05316,0.02040,1.02776
1.490,0.03509,0.02494,1.02974
1.500,0.02889,-0.01462,0.99887
1.510,0.01146,0.01770,1.02548
1.520,-0.00121,0.03361,0.98078
1.530,0.02267,0.03719,1.00454
1.540,0.03142,0.00904,1.01132
1.550,0.06797,0.02614,0.99789
1.560,0.03532,0.03889,0.99556
1.570,0.05247,0.03456,0.97761
1.580,0.02293,0.03542,0.99929
1.590,0.00932,0.01993,0.96783
1.600,0.01382,0.01584,0.99734
1.610,0.01872,0.02324,1.00121
1.620,0.07589,0.00260,1.01490
1.630,0.01699,0.04018,0.97647
1.640,0.05029,-0.01260,1.00680
1.650,0.01556,0.00799,1.01139
1.660,0.05234,0.01742,0.99956
1.670,0.04151,0.02760,1.00895
1.680,0.03077,0.03142,1.00540
1.690,0.03318,0.04812,0.94799
1.700,0.02099,0.01996,0.98156
1.710,0.04310,0.00411,1.04286
1.720,0.02516,0.01563,1.01312
1.730,0.00984,0.01220,0.98797
1.740,0.00888,0.02905,1.00733
1.750,0.03798,-0.00263,1.01422
1.760,0.06619,0.01526,1.03082
1.770,0.03789,0.05128,0.99221
1.780,0.03240,0.02248,0.98808
1.790,0.04057,-0.00211,0.99004
1.800,0.06106,0.01221,0.98857
1.810,0.03941,-0.02560,0.98790
1.820,0.02688,0.01794,1.00375
1.830,0.05730,0.05212,0.99158
1.840,0.04383,-0.00451,0.99876
1.850,0.06604,-0.00985,1.03745
1.860,0.03907,0.00626,0.98084
1.870,0.01099,0.03780,1.00674
1.880,0.00818,0.05352,0.97729
1.890,0.06864,0.02844,1.01854
1.900,0.07016,-0.00619,1.02238
1.910,0.03217,0.01913,0.98265
1.920,0.02816,0.05541,0.98608
1.930,0.06512,0.01345,1.01333
1.940,0.01382,0.02252,0.99451
1.950,0.01813,0.02457,1.02834
1.960,0.04895,-0.01111,0.97596
1.970,0.02825,0.03981,1.02154
1.980,0.03610,0.03696,1.04475
1.990,0.03300,-0.01994,1.00784
2.000,0.04308,-0.00664,0.98726
2.010,0.06453,0.00062,0.98446
2.020,0.03825,0.03502,0.99676
2.030,0.04937,0.00507,1.01352
2.040,-0.00445,0.02816,0.97013
2.050,0.03563,0.01653,0.99380
2.060,0.01979,0.02163,1.00263
2.070,0.01233,0.03016,1.03108
2.080,0.01919,0.02572,1.03723
2.090,0.03012,0.01993,0.99737
2.100,0.05517,0.02688,0.97783
2.110,0.01037,0.02471,1.00280
2.120,0.03756,0.01621,1.00352
2.130,0.02730,0.01181,1.02372
2.140,0.03048,0.05807,0.99113
2.150,0.05713,0.01164,0.98022
2.160,0.04787,0.04786,0.99977
2.170,0.06390,0.00685,0.99320
2.180,0.03410,0.03678,0.99267
2.190,0.02331,0.05628,0.98263
2.200,0.03279,0.01388,0.97489
2.210,0.04215,0.00730,1.01221
2.220,0.04086,0.01209,1.00528
2.230,0.01568,0.02031,0.98393
2.240,0.03920,0.02716,1.01640
2.250,0.04199,0.01994,0.96315
2.260,0.08780,0.01236,0.99184
2.270,0.07502,0.05987,1.00431
2.280,0.02044,0.01679,1.02216
2.290,0.03179,0.00842,0.98889
2.300,0.00829,0.03744,1.02248
2.310,0.02577,0.03778,0.98697
2.320,0.04391,0.04912,1.01643
2.330,0.06174,0.05944,1.03364
2.340,0.02306,0.02782,0.98000
2.350,0.02458,0.01514,1.00303
2.360,-0.00527,-0.01713,1.01081
2.370,0.03444,0.00217,0.97511
2.380,0.01646,0.02511,1.00865
2.390,0.02713,-0.00267,0.98867
2.400,0.02020,-0.01074,0.98314
2.410,0.03586,0.02228,0.99153
2.420,0.00260,0.03651,0.99008
2.430,0.00842,0.01605,1.01601
2.440,0.08036,0.03892,0.99998
2.450,0.01203,0.03332,1.04621
2.460,0.01585,0.04398,0.98928
2.470,0.07453,0.06447,1.00948
2.480,0.09589,0.07328,0.99699
2.490,0.01436,0.03563,0.97448
2.500,0.03043,0.01180,1.03181
2.510,0.04462,0.02224,1.00239
2.520,0.07237,0.05246,0.98438
2.530,0.01805,0.00313,1.00800
2.540,0.03288,0.04995,1.02067
2.550,0.05333,0.01759,0.98302
2.560,0.04647,0.02553,1.00101
2.570,0.03024,0.00483,1.02081
2.580,0.03508,-0.00550,1.00330
2.590,0.01025,0.01539,1.01108
2.600,0.03297,0.04702,0.99472
2.610,0.03239,0.00691,0.96854
2.620,0.04235,0.05319,0.99496
2.630,0.02659,0.00947,0.98879
2.640,0.04711,-0.00045,0.99782
2.650,0.05792,0.02598,0.98901
2.660,0.04075,0.03448,1.00341
2.670,0.04466,0.02464,0.99307
2.680,0.03867,0.02388,1.01618
2.690,0.03758,0.05291,1.01231
2.700,0.02313,0.02273,0.98151
2.710,0.04386,0.01141,1.02513
2.720,0.03556,-0.00186,0.98553
2.730,0.07934,0.04625,0.97751
2.740,0.06892,0.01225,1.02111
2.750,0.04514,0.01418,0.98815
2.760,0.02213,0.04176,1.00196
2.770,0.01512,0.06178,0.97424
2.780,0.06115,0.02570,0.99268
2.790,0.04255,0.01791,0.99769
2.800,0.04687,0.02051,0.99215
2.810,0.00234,0.01149,0.98972
2.820,0.05574,0.01346,1.00082
2.830,0.04624,0.01354,1.01980
2.840,0.01490,0.03874,0.98117
2.850,0.02764,0.01873,0.94945
2.860,0.04230,0.04765,1.02479
2.870,0.03804,0.01811,0.98683
2.880,0.03110,0.01306,0.98854
2.890,0.03483,0.04593,0.98909
2.900,0.03181,0.02077,0.97343
2.910,0.03986,0.01778,0.99210
2.920,0.06619,0.02094,0.99440
2.930,-0.01463,0.04957,1.00870
2.940,0.03192,0.02632,0.98905
2.950,0.04013,0.04516,0.95117
2.960,0.04247,0.01544,0.97325
2.970,0.02906,0.04188,1.02231
2.980,0.00131,0.02481,0.98320
2.990,0.04294,0.03766,1.01092
3.000,0.07087,0.03931,0.98573
3.010,0.00559,0.00110,1.01626
3.020,0.05348,0.02133,1.00198
3.030,0.02958,0.03899,0.97097
3.040,0.03486,0.04213,0.97658
3.050,0.01496,0.04483,0.97020
3.060,0.02927,0.02181,1.01825
3.070,0.06189,0.05047,0.97482
3.080,0.04748,0.00648,0.99261
3.090,0.07040,-0.01032,0.99839
3.100,0.05924,0.01397,1.00444
3.110,0.04440,0.04339,0.99078
3.120,0.07043,-0.00230,0.96849
3.130,0.04425,-0.01002,0.97586
3.140,0.05196,-0.01509,0.97896
3.150,0.02940,0.03399,0.94704
3.160,0.03658,-0.00973,1.00863
3.170,0.02123,0.03015,1.01011
3.180,0.05489,0.01255,0.97856
3.190,0.01145,0.00365,1.02609
3.200,0.05059,-0.00097,0.99787
3.210,0.03105,0.02307,1.01695
3.220,0.05820,0.00380,1.01552
3.230,0.04971,0.01873,0.99732
3.240,0.07102,0.02680,0.95941
3.250,0.04914,0.03096,1.00398
3.260,0.00300,0.03734,1.01053
3.270,0.03301,0.02188,0.98695
3.280,0.01082,-0.00247,1.00322
3.290,0.02381,0.02778,0.99943
3.300,0.06431,0.03153,0.98093
3.310,0.04674,0.01471,0.99800
3.320,0.01992,0.01252,0.98982
3.330,0.01353,0.06771,1.00750
3.340,0.03437,-0.00772,0.98820
3.350,0.00929,0.02795,0.98577
3.360,0.02010,0.03893,0.96725
3.370,0.03966,0.01111,1.04413
3.380,0.05643,0.01450,0.99095
3.390,0.04540,0.00977,0.97739
3.400,-0.01270,0.01774,1.01207
3.410,0.03911,0.03565,1.00374
3.420,0.03436,0.01362,1.01096
3.430,0.04109,0.07973,1.01308
3.440,0.06504,0.00839,1.02194
3.450,-0.00866,0.04492,0.97870
3.460,0.02068,0.02817,1.00293
3.470,0.04421,0.01939,0.96842
3.480,0.00065,0.04656,0.99387
3.490,0.06169,-0.01493,1.01341
3.500,0.03943,0.02549,0.98210
3.510,0.04889,0.00258,1.04462
3.520,0.02042,0.00811,1.00036
3.530,0.04800,0.00709,0.96379
3.540,0.05298,-0.00260,1.01410
3.550,0.03616,-0.01646,1.04440
3.560,0.03607,0.02429,0.95527
3.570,0.03667,0.01511,1.01429
3.580,0.01388,0.01034,0.98021
3.590,0.02808,0.03145,0.99892
3.600,0.02786,0.02522,0.97382
3.610,0.03846,0.01076,1.01707
3.620,0.05066,0.07703,0.99363
3.630,0.00937,0.03629,1.02321
3.640,0.02792,0.06474,0.97941
3.650,0.05993,0.00745,0.99587
3.660,0.01530,0.02066,0.95372
3.670,0.01360,-0.00919,1.05195
3.680,0.03397,0.00888,1.03839
3.690,0.04668,0.00372,1.04359
3.700,0.02989,0.07522,1.03066
3.710,0.05611,0.00137,0.98818
3.720,0.04654,0.01045,0.99912
3.730,0.04611,-0.01404,1.00583
3.740,0.04022,0.02562,1.00749
3.750,0.07556,-0.00316,0.97809
3.760,0.02477,0.03313,0.97708
3.770,-0.01133,-0.02111,0.97326
3.780,0.06069,0.01213,0.99147
3.790,0.01931,-0.02244,0.99360
3.800,0.03049,0.00457,0.99095
3.810,0.05438,0.00853,1.00502
3.820,-0.00399,0.00220,0.97234
3.830,0.00288,0.00408,0.98291
3.840,-0.00425,0.03341,0.98479
3.850,0.01175,0.05738,1.01638
3.860,0.03628,0.02057,1.00395
3.870,0.03783,-0.00351,1.00676
3.880,0.03273,0.01487,0.98132
3.890,-0.00119,0.00640,1.00081
3.900,-0.01929,0.03117,0.98451
3.910,0.02786,0.01904,0.98520
3.920,0.01719,-0.01837,1.00739
3.930,0.03567,0.03504,0.98706
3.940,0.04037,0.03231,0.99789
3.950,0.02895,0.04277,0.99460
3.960,0.04123,0.00244,0.97652
3.970,0.03047,0.01868,0.98845
3.980,0.03633,-0.01114,0.98877
3.990,0.01149,0.01143,0.99237
4.000,0.02184,0.02028,0.96394
4.010,0.02921,-0.00048,0.98541
4.020,0.04153,0.01898,1.01824
4.030,0.01709,0.01538,1.00875
4.040,0.03524,0.00292,0.99201
4.050,0.01934,0.03975,0.97641
4.060,0.02215,0.00701,1.00201
4.070,0.04093,0.01424,1.01935
4.080,-0.01568,-0.01786,1.03034
4.090,-0.00190,0.02175,0.98952
4.100,-0.00577,0.00171,0.97880
4.110,-0.02296,0.03028,1.00964
4.120,0.00998,-0.01519,1.00718
4.130,0.03838,0.01953,1.00021
4.140,0.01753,-0.03284,0.98730
4.150,0.02702,0.02301,0.97382
4.160,0.04469,0.00708,1.01349
4.170,0.04929,0.01845,1.01793
4.180,0.02119,-0.00166,0.99280
4.190,0.04948,-0.00875,1.03421
4.200,0.02409,0.00143,1.00472
4.210,0.00533,0.01384,0.99650
4.220,0.01003,0.02142,0.97634
4.230,-0.00786,0.01585,0.96599
4.240,0.00382,-0.00908,0.98976
4.250,0.01425,0.04629,1.00738
4.260,0.03732,0.01607,1.04667
4.270,0.05549,-0.00315,1.00135
4.280,-0.00674,0.01766,1.01185
4.290,0.02859,0.01418,0.98345
4.300,-0.00024,0.00543,1.00417
4.310,0.02989,0.00297,1.00156
4.320,0.01760,0.02840,0.98109
4.330,-0.01656,0.04314,1.02676
4.340,0.03845,-0.03226,0.99732
4.350,0.00761,0.03295,1.02211
4.360,0.00886,0.00862,1.00019
4.370,-0.00203,0.01283,0.99337
4.380,0.00610,0.03501,0.98437
4.390,0.02757,-0.04524,0.99299
4.400,0.01505,0.02403,1.02929
4.410,0.02524,0.03326,0.98203
4.420,0.02573,-0.00629,1.01333
4.430,0.04472,-0.02052,0.99378
4.440,0.01128,0.04004,1.01179
4.450,-0.01158,-0.02801,1.00414
4.460,0.03912,0.01536,0.97333
4.470,0.01097,0.02733,1.00331
4.480,0.03971,0.01467,1.04331
4.490,0.02491,0.01791,1.00615
4.500,0.01444,0.00119,1.01854
4.510,0.02386,0.01562,1.00594
4.520,0.05573,-0.00793,1.01576
4.530,0.05806,-0.00547,0.98564
4.540,0.01773,0.00670,0.99757
4.550,0.01937,-0.02494,1.01760
4.560,0.03751,0.01727,0.99300
4.570,-0.00111,-0.04401,1.02144
4.580,0.02228,0.01273,0.97993
4.590,0.01492,0.01449,1.00118
4.600,0.02153,-0.01067,0.99482
4.610,-0.00160,-0.01958,1.05277
4.620,-0.01690,-0.00320,0.99220
4.630,-0.02675,0.01763,1.00840
4.640,-0.00783,0.01162,0.96017
4.650,0.00517,-0.01765,0.97664
4.660,0.00829,0.00657,1.00612
4.670,0.05271,0.00956,0.99472
4.680,0.03591,0.00859,0.99511
4.690,-0.00564,-0.01567,0.99350
4.700,0.02037,0.00705,0.99630
4.710,0.00509,0.02216,0.96577
4.720,0.00736,0.01441,0.99826
4.730,0.01657,0.01178,0.99561
4.740,0.02506,0.03627,1.02133
4.750,0.00570,0.00664,1.01670
4.760,0.03358,-0.01368,0.94343
4.770,-0.01072,-0.01375,0.98531
4.780,0.01205,0.00641,1.03604
4.790,0.06369,-0.02599,1.01812
4.800,0.01602,-0.00359,1.00982
4.810,0.04003,0.01178,0.98995
4.820,0.01301,0.02579,1.01480
4.830,0.02261,-0.02864,0.96969
4.840,0.00967,0.00409,0.98868
4.850,0.00721,0.00061,1.00690
4.860,-0.00516,0.00259,1.01215
4.870,0.01885,0.00454,1.00433
4.880,-0.00698,0.00095,1.00787
4.890,0.02318,0.02929,1.00328
4.900,0.03138,0.02620,0.99369
4.910,0.01682,0.04405,1.02681
4.920,0.00358,0.00084,1.03703
4.930,0.01819,-0.00729,0.99898
4.940,0.00275,-0.01856,0.97649
4.950,0.02745,-0.00973,0.99530
4.960,-0.02808,0.01482,1.00174
4.970,0.00165,0.01777,0.95580
4.980,-0.03165,0.01377,1.02677
4.990,-0.02192,-0.01316,0.98723
5.000,0.03507,-0.01318,0.98346
5.010,0.02551,0.03900,0.99321
5.020,-0.00697,-0.01690,0.99055
5.030,-0.02282,0.02793,1.00113
5.040,-0.05225,0.00756,1.01579
5.050,-0.00402,-0.01531,1.02551
5.060,0.05507,-0.02448,1.01581
5.070,0.01517,-0.01470,0.98114
5.080,-0.00490,0.00730,0.99782
5.090,0.01540,-0.01938,1.00209
5.100,-0.02531,0.02977,1.00614
5.110,-0.00022,-0.00561,1.00979
5.120,0.00752,0.01243,1.00156
5.130,0.00362,0.01068,0.99827
5.140,0.02097,0.03059,1.01821
5.150,0.01186,-0.01074,0.99734
5.160,0.01815,0.00001,1.01914
5.170,-0.00917,-0.03027,1.01627
5.180,0.02236,-0.00031,1.02905
5.190,0.03680,0.02030,1.00436
5.200,-0.01537,0.00176,1.02887
5.210,-0.01391,0.04349,0.99393
5.220,0.03038,0.00750,1.00691
5.230,-0.00035,-0.01383,1.01530
5.240,0.03136,0.00596,0.97979
5.250,-0.00575,-0.03255,0.99214
5.260,0.03202,-0.01939,0.98664
5.270,0.00536,-0.02789,0.99885
5.280,0.00771,-0.00335,0.98935
5.290,0.03365,-0.00502,1.00213
5.300,-0.00506,0.02017,0.99844
5.310,-0.01683,-0.00605,0.99441
5.320,-0.00717,-0.02424,1.00302
5.330,0.01067,0.02686,0.98635
5.340,-0.02988,-0.06334,0.98276
5.350,0.01400,-0.00381,0.97614
5.360,-0.00971,-0.00036,0.96424
5.370,0.02384,-0.00504,0.98641
5.380,-0.04719,0.00504,1.01078
5.390,-0.01522,-0.00288,0.99605
5.400,-0.03340,0.00477,1.00024
5.410,-0.01637,-0.01739,0.99191
5.420,0.00492,-0.03466,1.03864
5.430,-0.00380,-0.00653,1.00331
5.440,-0.00546,-0.02626,0.98863
5.450,-0.00376,-0.02043,0.97886
5.460,0.00331,0.01724,1.03426
5.470,-0.02111,0.02505,0.97196
5.480,0.01302,0.01662,0.98410
5.490,0.01196,0.01278,0.98412
5.500,0.00622,-0.00529,0.99931
5.510,0.00948,0.01369,1.00710
5.520,0.00409,0.00037,1.00137
5.530,0.03869,0.03209,0.99271
5.540,-0.00393,-0.02535,0.97206
5.550,-0.00851,0.00634,1.03713
5.560,-0.01762,-0.03252,1.00530
5.570,-0.02337,0.00621,1.01135
5.580,-0.02779,-0.04187,0.98648
5.590,-0.02085,-0.03188,0.99406
5.600,-0.00466,-0.03338,1.02346
5.610,0.00326,-0.00281,0.95590
5.620,-0.00258,-0.00088,1.01527
5.630,-0.01908,0.04091,0.99506
5.640,0.01406,-0.01004,1.00832
5.650,0.01067,0.00711,1.03330
5.660,-0.00749,-0.00524,0.99044
5.670,-0.01752,0.00520,0.94596
5.680,0.00633,-0.00583,0.97817
5.690,-0.00105,0.01317,1.00026
5.700,-0.03394,-0.02999,1.03298
5.710,-0.00651,-0.05801,0.99224
5.720,-0.00008,-0.00083,1.03096
5.730,-0.02348,-0.04540,0.95351
5.740,-0.00186,0.01682,0.98993
5.750,-0.03492,-0.02050,1.02076
5.760,0.02073,-0.03042,1.01888
5.770,0.01880,0.04424,0.96092
5.780,-0.01138,-0.01025,0.98320
5.790,0.00078,-0.01420,0.99723
5.800,-0.05486,0.00484,0.98672
5.810,-0.02995,0.00608,1.02339
5.820,-0.01286,0.01244,1.00026
5.830,-0.02859,-0.03712,0.97111
5.840,0.00697,0.00015,1.00921
5.850,0.03247,-0.01655,1.01027
5.860,-0.03117,-0.02922,0.97702
5.870,-0.02455,-0.00995,0.98218
5.880,-0.00325,-0.04725,0.98577
5.890,0.02410,0.00732,1.02733
5.900,-0.03273,-0.01707,0.99823
5.910,-0.00346,-0.02091,0.95581
5.920,0.02783,-0.01423,0.97593
5.930,-0.04179,-0.01493,1.01432
5.940,-0.03453,0.01112,0.99184
5.950,-0.01754,-0.03372,0.97545
5.960,-0.01964,-0.01956,0.99243
5.970,0.00687,-0.01635,1.01963
5.980,-0.00470,-0.03343,1.04352
5.990,-0.04519,-0.00905,0.99884
6.000,0.00047,-0.02682,1.00979
6.010,-0.02154,-0.04054,0.99800
6.020,0.01535,-0.00203,1.00438
6.030,-0.02285,0.01828,0.98150
6.040,-0.02318,-0.01180,1.02890
6.050,0.00023,-0.01494,0.99083
6.060,0.00452,-0.01546,0.97801
6.070,-0.00193,-0.02340,0.98462
6.080,-0.04475,0.01022,1.01330
6.090,-0.00042,-0.01140,0.98602
6.100,-0.03201,-0.05696,1.03033
6.110,-0.00677,0.01049,1.01279
6.120,-0.04009,0.00549,1.01723
6.130,-0.00283,-0.00166,0.99163
6.140,-0.02804,-0.06890,0.98757
6.150,-0.03770,-0.01395,1.00066
6.160,0.00209,0.00388,0.97626
6.170,-0.00749,-0.00649,1.00945
6.180,-0.02475,-0.01008,1.01835
6.190,0.01642,0.00363,0.98616
6.200,-0.02156,-0.01159,1.01380
6.210,-0.01224,0.00960,1.00509
6.220,-0.00764,-0.01133,1.02232
6.230,-0.02554,-0.01302,1.03287
6.240,-0.00386,0.00309,1.01563
6.250,-0.02409,-0.02282,0.99887
6.260,-0.02178,-0.03689,1.02412
6.270,0.01357,-0.01496,1.00095
6.280,-0.03463,-0.00332,0.99469
6.290,-0.06220,0.00329,0.98780
6.300,0.01814,0.00331,1.00196
6.310,0.03678,-0.01677,1.02010
6.320,-0.02244,-0.01892,0.97937
6.330,-0.05319,-0.02742,0.97520
6.340,-0.02079,-0.01067,0.97559
6.350,-0.02043,-0.04857,1.02044
6.360,-0.01863,-0.01538,1.00796
6.370,-0.03722,0.04107,1.02949
6.380,-0.00349,-0.04609,0.98962
6.390,-0.00471,-0.01296,0.97555
6.400,-0.04521,-0.00862,1.03114
6.410,-0.00146,-0.00614,0.98529
6.420,0.02549,-0.03568,1.01352
6.430,-0.01224,-0.00612,0.97332
6.440,-0.02254,-0.02720,1.00362
6.450,-0.01875,-0.04514,0.99674
6.460,-0.00372,0.00237,0.97152
6.470,-0.05075,-0.00346,1.03784
6.480,-0.01296,-0.03616,0.98223
6.490,-0.02417,-0.02779,0.98130
6.500,0.02048,-0.02859,0.98691
6.510,-0.02007,-0.04994,0.95642
6.520,0.01666,-0.00189,0.99346
6.530,-0.03888,-0.00122,0.98692
6.540,-0.00517,-0.02395,1.01985
6.550,-0.01063,-0.01793,1.00632
6.560,-0.03450,-0.01515,0.97464
6.570,-0.01368,-0.01263,0.98693
6.580,0.00692,-0.04454,1.04311
6.590,-0.02391,-0.00789,0.98176
6.600,-0.05137,-0.04124,1.01647
6.610,-0.01799,-0.00417,0.98640
6.620,-0.03578,-0.03917,0.97994
6.630,-0.02468,-0.04394,0.98916
6.640,-0.01956,-0.01857,1.02941
6.650,-0.05214,-0.01909,0.97065
6.660,-0.05044,-0.01607,1.01313
6.670,-0.00858,-0.03606,1.02439
6.680,-0.02877,-0.01422,0.98896
6.690,-0.06970,-0.01240,1.01994
6.700,-0.00280,0.00491,1.01683
6.710,-0.01314,-0.01476,0.98387
6.720,-0.03295,-0.03052,0.98100
6.730,-0.04510,-0.04553,0.99692
6.740,-0.00213,-0.04926,1.00216
6.750,-0.01195,-0.01225,0.99261
6.760,0.02863,-0.00291,1.01130
6.770,-0.01070,-0.03663,0.98452
6.780,-0.01143,-0.01378,0.98177
6.790,-0.02261,-0.02243,1.00008
6.800,-0.00302,-0.00464,1.00457
6.810,-0.00690,-0.00174,1.02624
6.820,0.00563,-0.06444,1.00909
6.830,-0.02978,0.00148,1.01420
6.840,-0.02796,-0.01417,0.99312
6.850,-0.02867,-0.02989,0.99327
6.860,-0.00306,-0.02939,0.98735
6.870,0.01135,-0.01873,1.00375
6.880,-0.02747,-0.02948,1.00305
6.890,-0.02641,-0.03819,1.00214
6.900,-0.01119,-0.03364,0.99624
6.910,-0.02189,-0.04032,0.99955
6.920,0.00262,0.00739,1.03368
6.930,-0.06084,-0.01844,1.00621
6.940,-0.03165,0.02549,1.01261
6.950,-0.03002,-0.01215,1.01059
6.960,-0.05996,-0.00779,0.99806
6.970,-0.03193,-0.04078,1.01268
6.980,-0.03000,-0.02388,1.00284
6.990,-0.01466,-0.01801,0.97805
7.000,0.01277,-0.03214,0.99219
7.010,-0.01316,-0.02860,1.04454
7.020,-0.02756,-0.01078,1.02902
7.030,-0.00667,-0.01025,1.00088
7.040,0.01697,-0.04561,1.02170
7.050,-0.02192,-0.01300,1.01411
7.060,-0.01889,-0.00738,1.04634
7.070,0.01233,-0.02998,1.01087
7.080,-0.00133,-0.03170,1.02019
7.090,0.01811,-0.00868,1.00226
